kind,position,result,stim_left,stim_right,stim_left_name,stim_right_name,correct
2,0,-1,24,13,stimuli/tunga_24.bmp,stimuli/tunga_13.bmp,1
1,1,1,19,17,stimuli/tunga_19.bmp,stimuli/tunga_17.bmp,1
0,0,1,23,20,stimuli/tunga_23.bmp,stimuli/tunga_20.bmp,0
1,1,1,19,17,stimuli/tunga_19.bmp,stimuli/tunga_17.bmp,1
2,1,1,13,24,stimuli/tunga_13.bmp,stimuli/tunga_24.bmp,1
2,0,1,24,13,stimuli/tunga_24.bmp,stimuli/tunga_13.bmp,0
2,0,1,24,13,stimuli/tunga_24.bmp,stimuli/tunga_13.bmp,0
0,1,1,20,23,stimuli/tunga_20.bmp,stimuli/tunga_23.bmp,1
1,0,1,17,19,stimuli/tunga_17.bmp,stimuli/tunga_19.bmp,0
0,0,1,23,20,stimuli/tunga_23.bmp,stimuli/tunga_20.bmp,0
2,0,1,24,13,stimuli/tunga_24.bmp,stimuli/tunga_13.bmp,0
2,1,1,13,24,stimuli/tunga_13.bmp,stimuli/tunga_24.bmp,1
2,0,1,24,13,stimuli/tunga_24.bmp,stimuli/tunga_13.bmp,0
1,1,1,19,17,stimuli/tunga_19.bmp,stimuli/tunga_17.bmp,1
0,1,-1,20,23,stimuli/tunga_20.bmp,stimuli/tunga_23.bmp,0
2,1,1,13,24,stimuli/tunga_13.bmp,stimuli/tunga_24.bmp,1
2,0,1,24,13,stimuli/tunga_24.bmp,stimuli/tunga_13.bmp,0
1,1,1,19,17,stimuli/tunga_19.bmp,stimuli/tunga_17.bmp,1
1,0,1,17,19,stimuli/tunga_17.bmp,stimuli/tunga_19.bmp,0
0,1,1,20,23,stimuli/tunga_20.bmp,stimuli/tunga_23.bmp,1
2,1,1,13,24,stimuli/tunga_13.bmp,stimuli/tunga_24.bmp,1
0,0,1,23,20,stimuli/tunga_23.bmp,stimuli/tunga_20.bmp,0
0,0,1,23,20,stimuli/tunga_23.bmp,stimuli/tunga_20.bmp,0
0,1,1,20,23,stimuli/tunga_20.bmp,stimuli/tunga_23.bmp,1
1,0,1,17,19,stimuli/tunga_17.bmp,stimuli/tunga_19.bmp,0
2,1,1,13,24,stimuli/tunga_13.bmp,stimuli/tunga_24.bmp,1
2,0,-1,24,13,stimuli/tunga_24.bmp,stimuli/tunga_13.bmp,1
0,0,1,23,20,stimuli/tunga_23.bmp,stimuli/tunga_20.bmp,0
0,1,1,20,23,stimuli/tunga_20.bmp,stimuli/tunga_23.bmp,1
1,0,-1,17,19,stimuli/tunga_17.bmp,stimuli/tunga_19.bmp,1
1,1,1,19,17,stimuli/tunga_19.bmp,stimuli/tunga_17.bmp,1
0,0,-1,23,20,stimuli/tunga_23.bmp,stimuli/tunga_20.bmp,1
0,1,1,20,23,stimuli/tunga_20.bmp,stimuli/tunga_23.bmp,1
1,0,1,17,19,stimuli/tunga_17.bmp,stimuli/tunga_19.bmp,0
1,1,1,19,17,stimuli/tunga_19.bmp,stimuli/tunga_17.bmp,1
1,1,1,19,17,stimuli/tunga_19.bmp,stimuli/tunga_17.bmp,1
