kind,position,result,stim_left,stim_right,stim_left_name,stim_right_name,correct
2,0,1,5,2,stimuli/tunga_05.bmp,stimuli/tunga_02.bmp,0
1,0,-1,7,9,stimuli/tunga_07.bmp,stimuli/tunga_09.bmp,1
1,0,1,7,9,stimuli/tunga_07.bmp,stimuli/tunga_09.bmp,0
0,1,1,6,11,stimuli/tunga_06.bmp,stimuli/tunga_11.bmp,1
2,1,1,2,5,stimuli/tunga_02.bmp,stimuli/tunga_05.bmp,1
1,0,1,7,9,stimuli/tunga_07.bmp,stimuli/tunga_09.bmp,0
0,1,1,6,11,stimuli/tunga_06.bmp,stimuli/tunga_11.bmp,1
1,1,1,9,7,stimuli/tunga_09.bmp,stimuli/tunga_07.bmp,1
2,0,-1,5,2,stimuli/tunga_05.bmp,stimuli/tunga_02.bmp,1
0,0,1,11,6,stimuli/tunga_11.bmp,stimuli/tunga_06.bmp,0
2,0,1,5,2,stimuli/tunga_05.bmp,stimuli/tunga_02.bmp,0
2,0,1,5,2,stimuli/tunga_05.bmp,stimuli/tunga_02.bmp,0
2,1,1,2,5,stimuli/tunga_02.bmp,stimuli/tunga_05.bmp,1
1,1,1,9,7,stimuli/tunga_09.bmp,stimuli/tunga_07.bmp,1
1,1,1,9,7,stimuli/tunga_09.bmp,stimuli/tunga_07.bmp,1
0,1,1,6,11,stimuli/tunga_06.bmp,stimuli/tunga_11.bmp,1
0,1,-1,6,11,stimuli/tunga_06.bmp,stimuli/tunga_11.bmp,0
0,1,1,6,11,stimuli/tunga_06.bmp,stimuli/tunga_11.bmp,1
0,1,1,6,11,stimuli/tunga_06.bmp,stimuli/tunga_11.bmp,1
2,0,1,5,2,stimuli/tunga_05.bmp,stimuli/tunga_02.bmp,0
1,0,1,7,9,stimuli/tunga_07.bmp,stimuli/tunga_09.bmp,0
0,0,-1,11,6,stimuli/tunga_11.bmp,stimuli/tunga_06.bmp,1
2,0,1,5,2,stimuli/tunga_05.bmp,stimuli/tunga_02.bmp,0
1,1,1,9,7,stimuli/tunga_09.bmp,stimuli/tunga_07.bmp,1
0,0,1,11,6,stimuli/tunga_11.bmp,stimuli/tunga_06.bmp,0
1,0,1,7,9,stimuli/tunga_07.bmp,stimuli/tunga_09.bmp,0
2,1,1,2,5,stimuli/tunga_02.bmp,stimuli/tunga_05.bmp,1
0,0,1,11,6,stimuli/tunga_11.bmp,stimuli/tunga_06.bmp,0
0,0,1,11,6,stimuli/tunga_11.bmp,stimuli/tunga_06.bmp,0
2,1,1,2,5,stimuli/tunga_02.bmp,stimuli/tunga_05.bmp,1
0,0,1,11,6,stimuli/tunga_11.bmp,stimuli/tunga_06.bmp,0
0,0,-1,11,6,stimuli/tunga_11.bmp,stimuli/tunga_06.bmp,1
1,0,1,7,9,stimuli/tunga_07.bmp,stimuli/tunga_09.bmp,0
1,1,1,9,7,stimuli/tunga_09.bmp,stimuli/tunga_07.bmp,1
1,1,1,9,7,stimuli/tunga_09.bmp,stimuli/tunga_07.bmp,1
2,0,1,5,2,stimuli/tunga_05.bmp,stimuli/tunga_02.bmp,0
1,1,1,9,7,stimuli/tunga_09.bmp,stimuli/tunga_07.bmp,1
2,0,-1,5,2,stimuli/tunga_05.bmp,stimuli/tunga_02.bmp,1
0,0,1,11,6,stimuli/tunga_11.bmp,stimuli/tunga_06.bmp,0
0,0,1,11,6,stimuli/tunga_11.bmp,stimuli/tunga_06.bmp,0
2,1,1,2,5,stimuli/tunga_02.bmp,stimuli/tunga_05.bmp,1
1,0,-1,7,9,stimuli/tunga_07.bmp,stimuli/tunga_09.bmp,1
0,1,1,6,11,stimuli/tunga_06.bmp,stimuli/tunga_11.bmp,1
2,0,1,5,2,stimuli/tunga_05.bmp,stimuli/tunga_02.bmp,0
0,0,-1,11,6,stimuli/tunga_11.bmp,stimuli/tunga_06.bmp,1
0,0,-1,11,6,stimuli/tunga_11.bmp,stimuli/tunga_06.bmp,1
1,0,1,7,9,stimuli/tunga_07.bmp,stimuli/tunga_09.bmp,0
2,0,1,5,2,stimuli/tunga_05.bmp,stimuli/tunga_02.bmp,0
1,0,1,7,9,stimuli/tunga_07.bmp,stimuli/tunga_09.bmp,0
1,1,1,9,7,stimuli/tunga_09.bmp,stimuli/tunga_07.bmp,1
0,1,1,6,11,stimuli/tunga_06.bmp,stimuli/tunga_11.bmp,1
0,1,-1,6,11,stimuli/tunga_06.bmp,stimuli/tunga_11.bmp,0
2,1,1,2,5,stimuli/tunga_02.bmp,stimuli/tunga_05.bmp,1
1,1,1,9,7,stimuli/tunga_09.bmp,stimuli/tunga_07.bmp,1
2,1,1,2,5,stimuli/tunga_02.bmp,stimuli/tunga_05.bmp,1
1,1,1,9,7,stimuli/tunga_09.bmp,stimuli/tunga_07.bmp,1
1,1,-1,9,7,stimuli/tunga_09.bmp,stimuli/tunga_07.bmp,0
2,0,1,5,2,stimuli/tunga_05.bmp,stimuli/tunga_02.bmp,0
2,1,1,2,5,stimuli/tunga_02.bmp,stimuli/tunga_05.bmp,1
2,0,-1,5,2,stimuli/tunga_05.bmp,stimuli/tunga_02.bmp,1
2,1,1,2,5,stimuli/tunga_02.bmp,stimuli/tunga_05.bmp,1
1,0,1,7,9,stimuli/tunga_07.bmp,stimuli/tunga_09.bmp,0
1,1,-1,9,7,stimuli/tunga_09.bmp,stimuli/tunga_07.bmp,0
0,0,1,11,6,stimuli/tunga_11.bmp,stimuli/tunga_06.bmp,0
1,1,1,9,7,stimuli/tunga_09.bmp,stimuli/tunga_07.bmp,1
0,1,1,6,11,stimuli/tunga_06.bmp,stimuli/tunga_11.bmp,1
2,1,1,2,5,stimuli/tunga_02.bmp,stimuli/tunga_05.bmp,1
0,1,1,6,11,stimuli/tunga_06.bmp,stimuli/tunga_11.bmp,1
2,0,1,5,2,stimuli/tunga_05.bmp,stimuli/tunga_02.bmp,0
2,1,-1,2,5,stimuli/tunga_02.bmp,stimuli/tunga_05.bmp,0
0,0,-1,11,6,stimuli/tunga_11.bmp,stimuli/tunga_06.bmp,1
1,1,1,9,7,stimuli/tunga_09.bmp,stimuli/tunga_07.bmp,1
